GEOID,NAME
26049012703,"Census Tract 127.03, Genesee County, Michigan"
26049012704,"Census Tract 127.04, Genesee County, Michigan"
26049012801,"Census Tract 128.01, Genesee County, Michigan"
26049012802,"Census Tract 128.02, Genesee County, Michigan"
26049012904,"Census Tract 129.04, Genesee County, Michigan"
26049012905,"Census Tract 129.05, Genesee County, Michigan"
26049012906,"Census Tract 129.06, Genesee County, Michigan"
26049012907,"Census Tract 129.07, Genesee County, Michigan"
26049013001,"Census Tract 130.01, Genesee County, Michigan"
26049013002,"Census Tract 130.02, Genesee County, Michigan"
26049013110,"Census Tract 131.10, Genesee County, Michigan"
26049013111,"Census Tract 131.11, Genesee County, Michigan"
26049013112,"Census Tract 131.12, Genesee County, Michigan"
26049013113,"Census Tract 131.13, Genesee County, Michigan"
26049013202,"Census Tract 132.02, Genesee County, Michigan"
26049013204,"Census Tract 132.04, Genesee County, Michigan"
26049013301,"Census Tract 133.01, Genesee County, Michigan"
26049013401,"Census Tract 134.01, Genesee County, Michigan"
26049013402,"Census Tract 134.02, Genesee County, Michigan"
26049013500,"Census Tract 135, Genesee County, Michigan"
26049013600,"Census Tract 136, Genesee County, Michigan"
26049980000,"Census Tract 9800, Genesee County, Michigan"
26049980100,"Census Tract 9801, Genesee County, Michigan"
26051000100,"Census Tract 1, Gladwin County, Michigan"
26051000200,"Census Tract 2, Gladwin County, Michigan"
26051000300,"Census Tract 3, Gladwin County, Michigan"
26051000400,"Census Tract 4, Gladwin County, Michigan"
26051000500,"Census Tract 5, Gladwin County, Michigan"
26051000600,"Census Tract 6, Gladwin County, Michigan"
26051000700,"Census Tract 7, Gladwin County, Michigan"
26051000800,"Census Tract 8, Gladwin County, Michigan"
26051000900,"Census Tract 9, Gladwin County, Michigan"
26053950100,"Census Tract 9501, Gogebic County, Michigan"
26053950200,"Census Tract 9502, Gogebic County, Michigan"
26053950300,"Census Tract 9503, Gogebic County, Michigan"
26053950400,"Census Tract 9504, Gogebic County, Michigan"
26053950500,"Census Tract 9505, Gogebic County, Michigan"
26053950600,"Census Tract 9506, Gogebic County, Michigan"
26053950700,"Census Tract 9507, Gogebic County, Michigan"
26053990000,"Census Tract 9900, Gogebic County, Michigan"
26055550101,"Census Tract 5501.01, Grand Traverse County, Michigan"
26055550102,"Census Tract 5501.02, Grand Traverse County, Michigan"
26055550200,"Census Tract 5502, Grand Traverse County, Michigan"
26055550300,"Census Tract 5503, Grand Traverse County, Michigan"
26055550400,"Census Tract 5504, Grand Traverse County, Michigan"
26055550500,"Census Tract 5505, Grand Traverse County, Michigan"
26055550600,"Census Tract 5506, Grand Traverse County, Michigan"
